pctorigarea,geoid,cdbawcensusuid
0.327,36081010701,3
1.0,36081015300,3
1.0,36081009700,3
1.0,36081010100,3
1.0,36081005700,3
1.0,36081005900,3
1.0,36081006100,3
1.0,36081006300,3
1.0,36081006501,3
1.0,36081006502,3
1.0,36081006900,3
1.0,36081007100,3
1.0,36081007300,3
1.0,36081016100,3
1.0,36081009500,3
1.0,36081010300,3
1.0,36081010500,3
1.0,36081011100,3
1.0,36081011300,3
1.0,36081011500,3
1.0,36081011700,3
1.0,36081011900,3
1.0,36081012100,3
0.8278,36081012301,3
1.0,36081012500,3
1.0,36081013500,3
1.0,36081013700,3
1.0,36081014300,3
1.0,36081014500,3
1.0,36081014700,3
1.0,36081014900,3
1.0,36081015100,3
1.0,36081015500,3
0.79,36081015700,3
0.9993,36081015900,3
0.9723,36081016300,3
0.7345,36081029500,3
0.0204,36081030902,3
0.0153,36081030904,3
0.2749,36081031700,3
0.6828,36081029700,3
1.0,36081014100,3
0.9694,36081029900,3
0.1021,36061024000,3
1.0,36081009900,3
0.0496,36081017100,3
0.0529,36081003900,3
0.0026,36081003300,3
0.31,36081004300,3
0.1061,36081005100,3
1.0,36081007500,3
1.0,36081007700,3
1.0,36081007900,3
1.0,36081008100,3
1.0,36081008300,3
0.1236,36081008500,3
1.0,36081009100,3
1.0,36081008700,3
1.0,36081005300,3
1.0,36081004500,3
0.1425,36081003700,3
0.87,36081004700,3
0.157,36081005500,3
